"","sheet","chain","co_owned","state","empft","emppt","wage_st","empft2","emppt2","wage_st2","fte","fte2","dfte","gap","dw","sample"
"1",46,1,0,0,30,15,NA,3.5,35,4.30000019073486,37.5,21,-16.5,0,NA,0
"2",49,2,0,0,6.5,6.5,NA,0,15,4.44999980926514,9.75,7.5,-2.25,0,NA,0
"3",506,2,1,0,3,7,NA,3,7,5,6.5,6.5,0,0,NA,0
"4",56,4,1,0,20,20,5,0,36,5.25,30,18,-12,0,0.25,1
"5",61,4,1,0,6,26,5.5,28,3,4.75,19,29.5,10.5,0,-0.75,1
"6",62,4,1,0,0,31,5,NA,NA,NA,15.5,NA,NA,0,NA,0
"7",445,1,0,0,50,35,5,15,18,4.75,67.5,24,-43.5,0,-0.25,1
"8",451,1,0,0,10,17,5,26,9,5,18.5,30.5,12,0,0,1
"9",455,2,1,0,2,8,5.25,3,12,5,6,9,3,0,-0.25,1
"10",458,2,1,0,2,10,5,2,9,5,7,6.5,-0.5,0,0,1
"11",462,3,1,0,2.5,20,5,1,25,4.75,12.5,13.5,1,0,-0.25,1
"12",468,1,0,0,40,30,5,9,32,5,55,25,-30,0,0,1
"13",469,1,0,0,8,27,5,7,39,4.5,21.5,26.5,5,0,-0.5,1
"14",470,1,0,0,10.5,30,5.5,18,10,4.75,25.5,23,-2.5,0,-0.75,1
"15",474,1,0,0,6,9,5,5,20,4.5,10.5,15,4.5,0,-0.5,1
"16",481,2,1,0,5,17.5,5.25,15,4,5,13.75,17,3.25,0,-0.25,1
"17",483,2,1,0,1,15,5,4,13,4.75,8.5,10.5,2,0,-0.25,1
"18",487,3,1,0,10,6,5,6,20,4.75,13,16,3,0,-0.25,1
"19",488,3,0,0,20,13,5,5,15,4.75,26.5,12.5,-14,0,-0.25,1
"20",489,3,0,0,5,23,5,2,19,4.25,16.5,11.5,-5,0,-0.75,1
"21",490,3,1,0,10,12.5,5,2,18,5,16.25,11,-5.25,0,0,1
"22",493,3,1,0,27,12,5,0,30,4.90000009536743,33,15,-18,0,-0.0999999046325684,1
"23",495,3,0,0,4,28,5,8,20,5,18,18,0,0,0,1
"24",496,3,1,0,10,15,5,10,10,4.75,17.5,15,-2.5,0,-0.25,1
"25",499,4,1,0,0,28,5,0,31,5,14,15.5,1.5,0,0,1
"26",509,3,1,0,3,16,5,5.5,10,4.25,11,10.5,-0.5,0,-0.75,1
"27",515,3,1,0,7,16,5,5,19,4.75,15,14.5,-0.5,0,-0.25,1
"28",37,1,0,0,21,9,4.25,6,25,4.25,25.5,18.5,-7,0,0,1
"29",39,1,0,0,1,32,4.25,5,15,NA,17,12.5,-4.5,0,NA,0
"30",40,1,0,0,10,20,4.25,7,25,4.25,20,19.5,-0.5,0,0,1
"31",41,1,0,0,0,27,4.25,0,42,4.25,13.5,21,7.5,0,0,1
"32",42,1,0,0,17,4,4.5,0,22,4.25,19,11,-8,0,-0.25,1
"33",45,1,0,0,0,24,4.25,11,12,4.25,12,17,5,0,0,1
"34",47,1,0,0,25,15,4.5,0,45,4.25,32.5,22.5,-10,0,-0.25,0
"35",48,1,0,0,6,20,4.25,7.5,25,4.38000011444092,16,20,4,0,0.130000114440918,1
"36",50,2,0,0,6,10,4.5,4,20,4.75,11,14,3,0,0.25,1
"37",51,2,0,0,0,15,4.25,6,15,4.25,7.5,13.5,6,0,0,1
"38",57,4,1,0,30,10,4.67000007629395,7,18,4.5,35,16,-19,0,-0.170000076293945,1
"39",58,4,1,0,8,25,4.75,0,28,4.5,20.5,14,-6.5,0,-0.25,1
"40",59,4,0,0,0,15,4.25,0,16,4.25,7.5,8,0.5,0,0,1
"41",60,4,0,0,10,20,4.25,10,20,4.25,20,20,0,0,0,1
"42",407,2,1,0,2,12,4.75,1,14,4.25,8,8,0,0,-0.5,1
"43",430,1,0,0,20,25,4.25,0,48,4.25,32.5,24,-8.5,0,0,1
"44",432,1,0,0,20,55,4.5,25,10,5.05000019073486,47.5,30,-17.5,0,0.550000190734863,1
"45",433,1,0,0,10,30,4.25,0,42,NA,25,21,-4,0,NA,0
"46",434,1,0,0,15,50,4.25,19,29,4.25,40,33.5,-6.5,0,0,1
"47",435,1,0,0,1,37.5,4.25,0,32,4.25,19.75,16,-3.75,0,0,1
"48",438,2,0,0,0,9,4.25,2,9,4.25,4.5,6.5,2,0,0,1
"49",440,4,0,0,0,25,4.25,0,30,NA,12.5,15,2.5,0,NA,0
"50",441,4,0,0,30,10,4.25,0,30,4.25,35,15,-20,0,0,1
"51",443,4,0,0,4,19,4.25,5,20,4.34999990463257,13.5,15,1.5,0,0.0999999046325684,1
"52",444,4,0,0,12,20,4.25,10,35,4.5,22,27.5,5.5,0,0.25,1
"53",446,1,0,0,NA,NA,4.5,7,24,5,NA,19,NA,0,0.5,0
"54",448,1,0,0,8,18,4.75,8,27,4.5,17,21.5,4.5,0,-0.25,1
"55",449,1,0,0,0,25,4.86999988555908,15,15,5,12.5,22.5,10,0,0.130000114440918,1
"56",450,1,0,0,2,21,4.75,27.5,8,4.75,12.5,31.5,19,0,0,1
"57",454,2,1,0,1,9,4.5,0,18,5,5.5,9,3.5,0,0.5,1
"58",459,3,1,0,5,20,4.25,0,20,4.34999990463257,15,10,-5,0,0.0999999046325684,1
"59",466,4,0,0,8,17.5,4.75,14,12,NA,16.75,20,3.25,0,NA,0
