SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
34,1,7,31,28,17,38,14,0,24
29,-1,34,29,10,41,26,18,33.33333,13.5
10,-1,-16,-23,-33,5,-12,-25,8.33333,-10.5
-11,1,2,-8,-8,-7,-2,-4,0,3
35,-1,35,35,38,25,25,28,25,5
-2,1,29,36,17,25,20,11,33.33333,11.5
11,1,35,39,28,40,30,34,41.66667,10
20,1,29,13,12,37,13,26,25,7.5
7,1,40,41,-7,45,36,43,66.66667,11.5
20,-1,61,37,36,80,51,35,75,11
7,-1,64,84,78,43,85,96,35,24
35,-1,52,51,32,44,52,59,50,16.5
36,1,89,73,73,85,76,73,75,22
3,1,22,29,50,56,38,26,75,5.5
-3,1,21,17,16,31,25,32,33.33333,13.5
20,1,59,65,55,87,72,63,100,19.5
18,1,-10,1,-21,-14,12,-15,-33.33333,3
5,1,16,14,38,37,13,33,30,8
6,1,58,70,60,32,68,58,33.33333,25.5
49,1,72,71,32,38,45,50,0,22
3,1,31,44,33,40,35,44,-10,6
23,1,37,55,41,40,55,41,41.66667,13
2,1,-12,2,-2,10,8,-3,41.66667,2.5
22,-1,5,22,25,22,25,4,16.66667,0
3,-1,4,4,8,11,16,26,16.66667,3.5
7,-1,24,6,-1,9,8,12,33.33333,-5.5
27,-1,78,63,64,58,78,76,75,24
-9,-1,5,-2,-26,-6,-24,-5,0,-3.5
31,1,24,44,40,36,37,14,25,14
18,-1,56,61,61,39,66,63,66.66667,21.5
17,1,45,36,42,77,44,45,50,17.5
-31,-1,28,19,12,-16,12,45,-25,4
17,1,12,55,14,11,23,5,-33.33333,7
31,-1,-62,-58,-49,-63,-52,-53,-60,-14.5
21,1,31,15,-13,37,18,18,33.33333,7
-5,-1,41,40,37,52,49,33,50,8
17,1,36,50,35,37,46,29,25,25.5
-3,1,39,35,24,21,19,19,16.66667,6.5
12,1,47,10,39,76,21,43,100,19.5
36,1,85,83,62,53,79,73,41.66667,33.5
17,1,-23,5,-17,-13,1,-27,-25,-2.5
1,-1,6,-4,5,-11,1,14,-25,3
13,1,6,23,-2,42,17,-3,13.33333,10
15,-1,18,19,34,-32,11,27,-33.33333,10.5
6,-1,64,65,59,60,65,75,66.66667,14.5
17,1,10,12,20,-3,34,24,0,13
-2,-1,11,11,10,-4,7,20,0,6
17,-1,13,16,-13,5,3,-7,-13.33333,-4.5
14,1,-12,-6,-7,-22,-4,-7,0,-1
19,1,5,4,11,16,3,1,0,-1.5
22,-1,9,6,10,20,4,25,25,7
41,1,70,72,77,54,79,81,50,33
-3,-1,41,48,22,23,28,46,20,23
10,1,9,32,-5,-4,2,29,-20,8.5
28,-1,60,64,76,64,58,68,40,17.5
41,-1,69,78,70,83,70,71,100,13.5
28,-1,48,42,54,51,52,62,50,21.5
21,-1,31,17,22,56,31,23,55,3.5
3,-1,19,18,13,28,1,5,20,-8.5
-6,1,8,7,-4,5,2,2,0,4
4,-1,40,47,52,15,51,66,30,16.5
14,1,9,4,3,-5,13,17,-20,11
32,-1,54,52,40,78,54,39,41.66667,3.5
3,-1,46,65,67,66,47,62,60,8
16,-1,63,53,73,69,64,52,50,7.5
14,1,23,28,25,19,28,46,20,20
22,1,11,15,-12,12,2,-8,0,13.5
-3,-1,61,56,56,76,47,60,60,9
-19,-1,34,48,28,13,39,47,0,14.5
4,-1,54,60,53,49,52,64,60,14
-3,1,45,47,31,43,34,27,25,11
31,1,-16,-8,-14,-37,-13,2,-55,2
-3,-1,37,46,-3,9,13,44,-15,8
6,1,24,34,-2,14,26,47,-10,8.5
20,-1,77,89,59,73,75,74,55,25
6,-1,25,34,51,24,27,45,25,2.5
-8,1,2,3,-23,-6,-16,-10,0,-3.5
59,1,9,9,-23,7,-3,-9,10,7
-3,-1,5,6,-6,9,-13,1,8.33333,-5
-9,-1,18,18,-8,20,-13,-12,20,-7.5
31,1,40,38,27,53,39,8,15,12.5
10,1,14,-19,-5,-10,15,25,-15,12
35,1,2,29,6,-13,-2,8,-35,7
3,-1,25,38,13,25,32,16,25,9
7,-1,33,38,26,26,26,37,40,8.5
23,-1,41,36,32,3,37,55,15,13.5
3,1,14,-2,3,16,18,2,20,9
19,1,22,31,2,-20,19,32,0,17.5
-3,-1,69,68,68,94,42,45,100,14
